nom;commune;insee;adresse;address;horaires;openinghours;capacite;nbecrans;cinema3d;telephone;url;source;gid;lon;lat
Ciné Mourguet;Sainte-Foy-lès-Lyon;69202;15 Rue Deshay, Sainte-Foy-lès-Lyon;"{'postalCode': '69110', 'streetAddress': '15 Rue Deshay', 'addressCountry': 'FR', 'addressLocality': 'Sainte-Foy-lès-Lyon'}";;;280;2;True;;;Open Street Map;9;4,8000792;45,7359223
Les Amphis;Vaulx-en-Velin;69256;12 Rue Pierre Cot, Vaulx-en-Velin;"{'postalCode': '69120', 'streetAddress': '12 Rue Pierre Cot', 'addressCountry': 'FR', 'addressLocality': 'Vaulx-en-Velin'}";;;177;1;True;;;Open Street Map;11;4,9181789;45,7883605
Cinéma Gérard-Philipe;Vénissieux;69259;12 Avenue Jean Cagne, Vénissieux;"{'postalCode': '69200', 'streetAddress': '12 Avenue Jean Cagne', 'addressCountry': 'FR', 'addressLocality': 'Vénissieux'}";;;473;3;False;+33478704047;https://www.ville-venissieux.fr/cinema;Open Street Map;13;4,8694348;45,697118
Ciné-Meyzieu;Meyzieu;69282;31 Rue Louis Saulnier, Meyzieu;"{'postalCode': '69330', 'streetAddress': '31 Rue Louis Saulnier', 'addressCountry': 'FR', 'addressLocality': 'Meyzieu'}";;;408;3;True;;;Open Street Map;16;5,0032585;45,7648443
Cinéma Opéra;Lyon 1er Arrondissement;69381;6 Rue Joseph Serlin, Lyon 1er Arrondissement;"{'postalCode': '69001', 'streetAddress': '6 Rue Joseph Serlin', 'addressCountry': 'FR', 'addressLocality': 'Lyon 1er Arrondissement'}";;;97;1;False;;;Open Street Map;19;4,8351154;45,7673064
Comœdia;Lyon 7e Arrondissement;69387;13 Avenue Berthelot, Lyon 7e Arrondissement;"{'postalCode': '69007', 'streetAddress': '13 Avenue Berthelot', 'addressCountry': 'FR', 'addressLocality': 'Lyon 7e Arrondissement'}";Mo-Su 10:30-22:00;"['Mo-Su 10:30-22:00']";1281;9;True;+33426994500;https://www.cinema-comoedia.com/;Open Street Map;31;4,8355185;45,7474
Centre culturel Jean Moulin;Mions;69283;Rue Fabian Martin, Mions;"{'postalCode': '69780', 'streetAddress': 'Rue Fabian Martin', 'addressCountry': 'FR', 'addressLocality': 'Mions'}";;;;;;;;Open Street Map;17;4,9576725;45,6668763
Le Cinéma;Lyon 1er Arrondissement;69381;Impasse Saint Polycarpe, Lyon 1er Arrondissement;"{'postalCode': '69001', 'streetAddress': 'Impasse Saint Polycarpe', 'addressCountry': 'FR', 'addressLocality': 'Lyon 1er Arrondissement'}";;;46;1;False;+33899868219;;Open Street Map;20;4,8339773;45,768538
Lumière Terreaux;Lyon 1er Arrondissement;69381;40 Rue Président Edouard Herriot, Lyon 1er Arrondissement;"{'postalCode': '69001', 'streetAddress': '40 Rue Président Edouard Herriot', 'addressCountry': 'FR', 'addressLocality': 'Lyon 1er Arrondissement'}";;;326;4;False;;;Open Street Map;21;4,8341916;45,7653286
Ciné-Café Aquarium;Lyon 4e Arrondissement;69384;10 Rue Dumont, Lyon 4e Arrondissement;"{'postalCode': '69004', 'streetAddress': '10 Rue Dumont', 'addressCountry': 'FR', 'addressLocality': 'Lyon 4e Arrondissement'}";We-Sa 14:30-19:30;"['We-Sa 14:30-19:30']";;;;;https://aquarium-cine-cafe.fr/;Open Street Map;28;4,8314443;45,7766424
UGC Ciné Cité Confluence;Lyon 2e Arrondissement;69382;9 Rue Paul Montrochet, Lyon 2e Arrondissement;"{'postalCode': '69002', 'streetAddress': '9 Rue Paul Montrochet', 'addressCountry': 'FR', 'addressLocality': 'Lyon 2e Arrondissement'}";Mo-Sa 10:00-20:00;"['Mo-Sa 10:00-20:00']";3464;14;False;+33146372824;https://www.ugc.fr/cinema.html?id=36;Open Street Map;24;4,8181777;45,7404586
Lumière Fourmi;Lyon 3e Arrondissement;69383;68 Rue Pierre Corneille, Lyon 3e Arrondissement;"{'postalCode': '69003', 'streetAddress': '68 Rue Pierre Corneille', 'addressCountry': 'FR', 'addressLocality': 'Lyon 3e Arrondissement'}";Mo-Su 15:00-22:00;"['Mo-Su 15:00-22:00']";136;3;False;;;Open Street Map;25;4,8437817;45,76328
UGC Ciné Cité Part-Dieu;Lyon 3e Arrondissement;69383;17 Rue Docteur Bouchut, Lyon 3e Arrondissement;"{'postalCode': '69003', 'streetAddress': '17 Rue Docteur Bouchut', 'addressCountry': 'FR', 'addressLocality': 'Lyon 3e Arrondissement'}";;;2387;14;True;+33146372824;https://www.ugc.fr/cinema.html?id=34;Open Street Map;26;4,8562726;45,760451
CIFA Saint-Denis;Lyon 4e Arrondissement;69384;79 Grande Rue de la Croix-Rousse, Lyon 4e Arrondissement;"{'postalCode': '69004', 'streetAddress': '79 Grande Rue de la Croix-Rousse', 'addressCountry': 'FR', 'addressLocality': 'Lyon 4e Arrondissement'}";;;237;1;True;;;Open Street Map;27;4,8318408;45,7800934
UGC Astoria;Lyon 6e Arrondissement;69386;31 Cours Vitton, Lyon 6e Arrondissement;"{'postalCode': '69006', 'streetAddress': '31 Cours Vitton', 'addressCountry': 'FR', 'addressLocality': 'Lyon 6e Arrondissement'}";;;894;5;False;+33146372824;https://www.ugc.fr/cinema.html?id=33;Open Street Map;30;4,8531531999999995;45,7696956
Institut Lumière;Lyon 8e Arrondissement;69388;23 Rue du Premier Film, Lyon 8e Arrondissement;"{'postalCode': '69008', 'streetAddress': '23 Rue du Premier Film', 'addressCountry': 'FR', 'addressLocality': 'Lyon 8e Arrondissement'}";"Tu-Fr 18:30-21:30; Sa,Su 14:00-18:00";"['Tu-Fr 18:30-21:30', 'Sa,Su 14:00-18:00']";;;;;;Open Street Map;32;4,8697489;45,7453857
CinéDuchère;Lyon 9e Arrondissement;69389;308 Avenue Andrei Sakharov, Lyon 9e Arrondissement;"{'postalCode': '69009', 'streetAddress': '308 Avenue Andrei Sakharov', 'addressCountry': 'FR', 'addressLocality': 'Lyon 9e Arrondissement'}";"pas d'horaire d'ouverture fixe, dépends des horaires de films";;91;1;True;;;Open Street Map;33;4,800902;45,7883325
Lumière Bellecour;Lyon 2e Arrondissement;69382;12 Rue de la Barre, Lyon 2e Arrondissement;"{'postalCode': '69002', 'streetAddress': '12 Rue de la Barre', 'addressCountry': 'FR', 'addressLocality': 'Lyon 2e Arrondissement'}";;;214;3;False;+33478846714;https://www.cinemas-lumiere.com/;Open Street Map;22;4,8356065;45,757431
Le Grand Scénario;Saint-Priest;69290;2 Place de l'Hôtel de Ville Charles Ottina, Saint-Priest;"{'postalCode': '69800', 'streetAddress': "2 Place de l'Hôtel de Ville Charles Ottina", 'addressCountry': 'FR', 'addressLocality': 'Saint-Priest'}";;;726;4;True;+33472236040;https://legrandscenario.fr/;Open Street Map;34;4,9375445;45,6948909
Bellecombe;Lyon 6e Arrondissement;69386;61 Rue d'Inkermann, Lyon 6e Arrondissement;"{'postalCode': '69006', 'streetAddress': "61 Rue d'Inkermann", 'addressCountry': 'FR', 'addressLocality': 'Lyon 6e Arrondissement'}";;;290;1;False;+33787961762;https://cinema-bellecombe.e-monsite.com/;Open Street Map;29;4,8662503;45,7658165
Pathé Bellecour;Lyon 2e Arrondissement;69382;79 Rue de la République, Lyon 2e Arrondissement;"{'postalCode': '69002', 'streetAddress': '79 Rue de la République', 'addressCountry': 'FR', 'addressLocality': 'Lyon 2e Arrondissement'}";24/7;"['24/7']";2104;10;True;;https://www.pathe.fr/cinemas/cinema-pathe-bellecour;Open Street Map;23;4,83488;45,7586907
